date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:38:27	973269/973269	---MCZ	200	added ('OK')	text/html	etag:W/%22e77b7603d2a734163da983688c9dfbe5%22	https://anisholi50.wixsite.com/anish-oli	C:/My%20Web%20Sites/anish%20oli/anisholi50.wixsite.com/anish-oli.html	(from )
14:38:27	322/322	---M--	200	added ('OK')	text/plain	date:Tue,%2004%20Apr%202023%2008:53:28%20GMT	https://anisholi50.wixsite.com/robots.txt		(from )
14:38:28	137771/137771	---M-Z	200	added ('OK')	application/javascript	etag:W/%2218eb21e8d1074fd7a594d3748ba0cb33%22	https://static.parastorage.com/unpkg/core-js-bundle@3.2.1/minified.js	C:/My%20Web%20Sites/anish%20oli/static.parastorage.com/unpkg/core-js-bundle@3.2.1/minified.js	(from https://anisholi50.wixsite.com/anish-oli)
14:38:28	1171/1171	---M-Z	200	added ('OK')	application/javascript	etag:W/%22c187011c9a45c15a6fcbf5d62a5d755f%22	https://static.parastorage.com/unpkg/focus-within-polyfill@5.0.9/dist/focus-within-polyfill.js	C:/My%20Web%20Sites/anish%20oli/static.parastorage.com/unpkg/focus-within-polyfill@5.0.9/dist/focus-within-polyfill.js	(from https://anisholi50.wixsite.com/anish-oli)
14:38:29	65588/65588	---M-Z	200	added ('OK')	text/javascript	date:Sun,%2005%20Mar%202023%2016:54:09%20GMT	https://polyfill.io/v3/polyfill.min.js?features=fetch	C:/My%20Web%20Sites/anish%20oli/polyfill.io/v3/polyfill.mind82c.js	(from https://anisholi50.wixsite.com/anish-oli)
14:38:29	65254/65254	---M-Z	200	added ('OK')	application/javascript	etag:%225b6773578af8dd5591339930c2b29024%22	https://browser.sentry-cdn.com/6.18.2/bundle.min.js	C:/My%20Web%20Sites/anish%20oli/browser.sentry-cdn.com/6.18.2/bundle.min.js	(from https://anisholi50.wixsite.com/anish-oli)
14:38:30	2935/2935	---MCZ	404	error ('Not%20Found')	text/html	date:Tue,%2004%20Apr%202023%2008:53:31%20GMT	https://anisholi50.wixsite.com/decodeURIComponent(e	C:/My%20Web%20Sites/anish%20oli/anisholi50.wixsite.com/decodeURIComponent(e	(from https://anisholi50.wixsite.com/anish-oli)
14:38:30	2935/2935	---MCZ	404	error ('Not%20Found')	text/html	date:Tue,%2004%20Apr%202023%2008:53:31%20GMT	https://anisholi50.wixsite.com/sitemap.xml	C:/My%20Web%20Sites/anish%20oli/anisholi50.wixsite.com/sitemap.xml	(from https://anisholi50.wixsite.com/anish-oli)
14:38:31	2935/2935	---MCZ	404	error ('Not%20Found')	text/html	date:Tue,%2004%20Apr%202023%2008:53:31%20GMT	https://anisholi50.wixsite.com/feed.xml	C:/My%20Web%20Sites/anish%20oli/anisholi50.wixsite.com/feed.xml	(from https://anisholi50.wixsite.com/anish-oli)
14:38:31	2935/2935	---MCZ	404	error ('Not%20Found')	text/html	date:Tue,%2004%20Apr%202023%2008:53:32%20GMT	https://anisholi50.wixsite.com/	C:/My%20Web%20Sites/anish%20oli/anisholi50.wixsite.com/index.html	(from https://anisholi50.wixsite.com/anish-oli)
14:38:32	78223/78223	---M-Z	200	added ('OK')	application/javascript	etag:W/%225a0f9edf8bda371953aa871835797897%22	https://static.parastorage.com/services/wix-thunderbolt/dist/thunderbolt-commons.9c28ce51.bundle.min.js	C:/My%20Web%20Sites/anish%20oli/static.parastorage.com/services/wix-thunderbolt/dist/thunderbolt-commons.9c28ce51.bundle.min.js	(from https://anisholi50.wixsite.com/anish-oli)
14:38:33	150898/150898	---M-Z	200	added ('OK')	application/javascript	etag:W/%225b422a56a2479e96618dd61768eed2be%22	https://static.parastorage.com/services/wix-thunderbolt/dist/main.ce16b4b6.bundle.min.js	C:/My%20Web%20Sites/anish%20oli/static.parastorage.com/services/wix-thunderbolt/dist/main.ce16b4b6.bundle.min.js	(from https://anisholi50.wixsite.com/anish-oli)
14:38:33	73015/73015	---M-Z	200	added ('OK')	application/javascript	etag:W/%229becc40fb1d85d21d0ca38e2f7069511%22	https://static.parastorage.com/unpkg/lodash@4.17.21/lodash.min.js	C:/My%20Web%20Sites/anish%20oli/static.parastorage.com/unpkg/lodash@4.17.21/lodash.min.js	(from https://anisholi50.wixsite.com/anish-oli)
14:38:33	12463/12463	---M-Z	200	added ('OK')	application/javascript	etag:W/%2263d498e143f421cc44dfb64f22fef270%22	https://static.parastorage.com/unpkg/react@16.14.0/umd/react.production.min.js	C:/My%20Web%20Sites/anish%20oli/static.parastorage.com/unpkg/react@16.14.0/umd/react.production.min.js	(from https://anisholi50.wixsite.com/anish-oli)
14:38:34	7897/7897	---M-Z	200	added ('OK')	application/javascript	etag:W/%2282ef8cd522818464cafdf4bf58ab1ffa%22	https://static.parastorage.com/services/tag-manager-client/1.705.0/siteTags.bundle.min.js	C:/My%20Web%20Sites/anish%20oli/static.parastorage.com/services/tag-manager-client/1.705.0/siteTags.bundle.min.js	(from https://anisholi50.wixsite.com/anish-oli)
